Invoice Number	Invoice Date	Country of Origin	HS Code	Mat. NO.		Description	Default	Quantity	Weight per PC (kg)	Unit Price (per batch)	Price per PC	Total Price	Currency
59638685	30.01.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3	305.62	1 /PC	916.86	EUR
59638685	30.01.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638685	30.01.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638685	30.01.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	586.56	1 /PC	"1,759.68"	EUR
59638685	30.01.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	252.17	1 /PC	756.51	EUR
59638685	30.01.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638685	30.01.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
59638685	30.01.2026	CZ	700910	57J857501EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638685	30.01.2026	CZ	700910	57J857501ES9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	2.312	119.67	1 /PC	239.34	EUR
59638685	30.01.2026	CZ	700910	57J857502EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638685	30.01.2026	CZ	700910	57J857502ES9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	2.344	156.29	1 /PC	312.58	EUR
59638685	30.01.2026	CZ	570500	57J863011CA9	87082900	LUGGAGE COMPARTM.	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.047	815.54	100 /PC	24.48	EUR
59638685	30.01.2026	CZ	870829	57J863021B62U	#N/A	Floor cover	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.12	33.16	1 /PC	99.48	EUR
59638685	30.01.2026	CZ	870829	57J863241NIFT	#N/A	Center console	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	8	2.216	124.04	1 /PC	992.32	EUR
59638685	30.01.2026	SK	870829	57J863935	87089900	Sound baffle	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	6.34	25.09	1 /PC	75.27	EUR
59638685	30.01.2026	PL	870891	5Q0145803AD	87089900	charge air cooler	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.094	23.74	1 /PC	71.22	EUR
59638685	30.01.2026	CZ	870892	5QA253059MD	84213200	"EXHAUST SYSTEM, FR"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	13.789	658.7	1 /PC	"1,976.10"	EUR
59638685	30.01.2026	HU	870899	5QS201021AS	#N/A	FUEL TANK	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.761	157.99	1 /PC	473.97	EUR
59638685	30.01.2026	DE	870850	5QS400053	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	193.57	1 /PC	580.71	EUR
59638685	30.01.2026	DE	870850	5QS400054	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	194.47	1 /PC	583.41	EUR
59638685	30.01.2026	CZ	870880	5QS412021ME	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	7.5	59.11	1 /PC	354.66	EUR
59638685	30.01.2026	DE	870850	5QS501051EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638685	30.01.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638685	30.01.2026	DE	870850	5QS521101D	87089900	Propeller shaft	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11	109.34	1 /PC	328.02	EUR
59638685	30.01.2026	DE	870894	5QT423051E	87089400	STEERING SYSTEM	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.9	269.05	1 /PC	807.15	EUR
59638685	30.01.2026	CZ	870891	5WA121251H	87089100	radiator	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.067	24.9	1 /PC	74.7	EUR
59638685	30.01.2026	PL	870899	5WA199315F	87089900	sub-frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.2	36.98	1 /PC	110.94	EUR
59638685	30.01.2026	CZ	841590	5WA816411A	84159000	refrigerant condenser with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	1.649	22.31	1 /PC	66.93	EUR
59638685	30.01.2026	CZ	830120	89A827506A	83012000	Hood latch	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.487	620.34	100 /PC	18.6	EUR
59638685	30.01.2026	PL	830230	89C800346F7C	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.144	671.05	100 /PC	6.71	EUR
59638685	30.01.2026	PL	830230	89C800346S9R	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	0.158	671.05	100 /PC	13.42	EUR
59638685	30.01.2026	PL	830160	8V0827507H	#N/A	striker plate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.14	"1,164.39"	1000 /PC	3.48	EUR
59638685	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638685	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638685	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638688	30.01.2026	DE	870850	0CQ525010AN	87085000	Final drive	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	29.8	423.55	1 /PC	"1,270.65"	EUR
59638688	30.01.2026	DE	870850	3WA505235AF	#N/A	Sub frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	20.98	125.62	1 /PC	376.86	EUR
59638688	30.01.2026	CZ	870810	571807109C	87081090	Bumper	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.8	43.41	1 /PC	130.23	EUR
59638688	30.01.2026	PL	870892	57H253181AG	87082900	Intermediate pipe with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15.8	87.8	1 /PC	263.4	EUR
59638688	30.01.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638688	30.01.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638688	30.01.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638688	30.01.2026	CZ	870810	57H807101MS9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	11.82	467.45	1 /PC	934.9	EUR
59638688	30.01.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
59638688	30.01.2026	CZ	870810	57H807301CS9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	6	133.76	1 /PC	267.52	EUR
59638688	30.01.2026	CZ	870829	57H8194159B9	87082900	Trim for windscreen	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	12	0.458	218.88	100 /PC	26.27	EUR
59638688	30.01.2026	CZ	870829	57H8194169B9	87082900	Trim for windscreen	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	12	0.458	219.62	100 /PC	26.35	EUR
59638688	30.01.2026	CZ	870829	57H867427FZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.399	29.76	1 /PC	89.28	EUR
59638688	30.01.2026	CZ	870829	57H867428EZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.175	30.81	1 /PC	92.43	EUR
59638688	30.01.2026	CZ	870829	57H867975B4PK	87082900	Trim panel for hatch gate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.5	995.31	100 /PC	29.85	EUR
59638688	30.01.2026	CZ	940120	57H881031JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15	255.89	1 /PC	767.67	EUR
59638688	30.01.2026	CZ	940120	57H881032JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	16	252.46	1 /PC	757.38	EUR
59638688	30.01.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	227.58	1 /PC	682.74	EUR
59638688	30.01.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	256.08	1 /PC	768.24	EUR
59638688	30.01.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	86.29	1 /PC	258.87	EUR
59638688	30.01.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	78.51	1 /PC	235.53	EUR
59638688	30.01.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	330.44	1 /PC	991.32	EUR
59638688	30.01.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	252.37	1 /PC	757.11	EUR
59638688	30.01.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3	305.62	1 /PC	916.86	EUR
59638688	30.01.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638688	30.01.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638688	30.01.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	586.56	1 /PC	"1,759.68"	EUR
59638688	30.01.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	252.17	1 /PC	756.51	EUR
59638688	30.01.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638688	30.01.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
59638688	30.01.2026	CZ	700910	57J857501EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638688	30.01.2026	CZ	700910	57J857501ES9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	2.312	119.67	1 /PC	239.34	EUR
59638688	30.01.2026	CZ	700910	57J857502EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638688	30.01.2026	CZ	700910	57J857502ES9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	2.344	156.29	1 /PC	312.58	EUR
59638688	30.01.2026	CZ	570500	57J863011CA9	87082900	LUGGAGE COMPARTM.	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.047	815.54	100 /PC	24.48	EUR
59638688	30.01.2026	CZ	870829	57J863021B62U	#N/A	Floor cover	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.12	33.16	1 /PC	99.48	EUR
59638688	30.01.2026	CZ	870829	57J863241NIFT	#N/A	Center console	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	4	2.216	124.04	1 /PC	496.16	EUR
59638688	30.01.2026	SK	870829	57J863935	87089900	Sound baffle	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	6.34	25.09	1 /PC	75.27	EUR
59638688	30.01.2026	PL	870891	5Q0145803AD	87089900	charge air cooler	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.094	23.74	1 /PC	71.22	EUR
59638688	30.01.2026	CZ	870892	5QA253059MD	84213200	"EXHAUST SYSTEM, FR"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	13.789	658.7	1 /PC	"1,976.10"	EUR
59638688	30.01.2026	HU	870899	5QS201021AS	#N/A	FUEL TANK	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.761	157.99	1 /PC	473.97	EUR
59638688	30.01.2026	DE	870850	5QS400053	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	193.57	1 /PC	580.71	EUR
59638688	30.01.2026	DE	870850	5QS400054	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	194.47	1 /PC	583.41	EUR
59638688	30.01.2026	CZ	870880	5QS412021ME	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	7.5	59.11	1 /PC	354.66	EUR
59638688	30.01.2026	DE	870850	5QS501051EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638688	30.01.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638688	30.01.2026	DE	870850	5QS521101D	87089900	Propeller shaft	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11	109.34	1 /PC	328.02	EUR
59638688	30.01.2026	DE	870894	5QT423051E	87089400	STEERING SYSTEM	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.9	269.05	1 /PC	807.15	EUR
59638688	30.01.2026	CZ	870891	5WA121251H	87089100	radiator	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.067	24.9	1 /PC	74.7	EUR
59638688	30.01.2026	PL	870899	5WA199315F	87089900	sub-frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.2	36.98	1 /PC	110.94	EUR
59638688	30.01.2026	CZ	841590	5WA816411A	84159000	refrigerant condenser with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	1.649	22.31	1 /PC	66.93	EUR
59638688	30.01.2026	CZ	830120	89A827506A	83012000	Hood latch	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.487	620.34	100 /PC	18.6	EUR
59638688	30.01.2026	PL	830230	89C800346F7C	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.144	671.05	100 /PC	6.71	EUR
59638688	30.01.2026	PL	830230	89C800346S9R	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	0.158	671.05	100 /PC	13.42	EUR
59638688	30.01.2026	PL	830160	8V0827507H	#N/A	striker plate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.14	"1,164.39"	1000 /PC	3.48	EUR
59638688	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638688	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638688	30.01.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638689	30.01.2026	DE	870850	0CQ525010AN	87085000	Final drive	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	29.8	423.55	1 /PC	"1,270.65"	EUR
59638689	30.01.2026	DE	870850	3WA505235AF	#N/A	Sub frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	20.98	125.62	1 /PC	376.86	EUR
59638689	30.01.2026	CZ	870810	571807109C	87081090	Bumper	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.8	43.41	1 /PC	130.23	EUR
59638689	30.01.2026	PL	870892	57H253181AG	87082900	Intermediate pipe with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15.8	87.8	1 /PC	263.4	EUR
59638689	30.01.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638689	30.01.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638689	30.01.2026	CZ	870810	57H807101MF5W	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638689	30.01.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638689	30.01.2026	CZ	870810	57H807101MF9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	459.83	1 /PC	459.83	EUR
59638689	30.01.2026	CZ	870810	57H807301CF5W	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	146.8	1 /PC	146.8	EUR
59638689	30.01.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
59638689	30.01.2026	CZ	870810	57H807301CF9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	136.89	1 /PC	136.89	EUR
59638689	30.01.2026	CZ	870829	57H867427FZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.399	29.76	1 /PC	89.28	EUR
59638689	30.01.2026	CZ	870829	57H867428EZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.175	30.81	1 /PC	92.43	EUR
59638689	30.01.2026	CZ	870829	57H867975B4PK	87082900	Trim panel for hatch gate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.5	995.31	100 /PC	29.85	EUR
59638689	30.01.2026	CZ	940120	57H881031JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15	255.89	1 /PC	767.67	EUR
59638689	30.01.2026	CZ	940120	57H881032JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	16	252.46	1 /PC	757.38	EUR
59638689	30.01.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	227.58	1 /PC	682.74	EUR
59638689	30.01.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	256.08	1 /PC	768.24	EUR
59638689	30.01.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	86.29	1 /PC	258.87	EUR
59638689	30.01.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	78.51	1 /PC	235.53	EUR
59638689	30.01.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	330.44	1 /PC	991.32	EUR
59638689	30.01.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	252.37	1 /PC	757.11	EUR
59638689	30.01.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3	305.62	1 /PC	916.86	EUR
59638689	30.01.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638689	30.01.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638689	30.01.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	586.56	1 /PC	"1,759.68"	EUR
59638689	30.01.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	252.17	1 /PC	756.51	EUR
59638689	30.01.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638689	30.01.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
59638689	30.01.2026	CZ	700910	57J857501EF5W	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638689	30.01.2026	CZ	700910	57J857501EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638689	30.01.2026	CZ	700910	57J857501EF9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	1.539	118.47	1 /PC	118.47	EUR
59638689	30.01.2026	CZ	700910	57J857502EF5W	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638689	30.01.2026	CZ	700910	57J857502EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638689	30.01.2026	CZ	700910	57J857502EF9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	1.539	154.73	1 /PC	154.73	EUR
59638689	30.01.2026	CZ	570500	57J863011CA9	87082900	LUGGAGE COMPARTM.	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.047	815.54	100 /PC	24.48	EUR
59638689	30.01.2026	CZ	870829	57J863021B62U	#N/A	Floor cover	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.12	33.16	1 /PC	99.48	EUR
59638689	30.01.2026	CZ	870829	57J863241NIFT	#N/A	Center console	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	8	2.216	124.04	1 /PC	992.32	EUR
59638689	30.01.2026	SK	870829	57J863935	87089900	Sound baffle	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	6.34	25.09	1 /PC	75.27	EUR
59638689	30.01.2026	PL	870891	5Q0145803AD	87089900	charge air cooler	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.094	23.74	1 /PC	71.22	EUR
59638689	30.01.2026	CZ	870892	5QA253059MD	84213200	"EXHAUST SYSTEM, FR"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	13.789	658.7	1 /PC	"1,976.10"	EUR
59638689	30.01.2026	HU	870899	5QS201021AS	#N/A	FUEL TANK	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.761	157.99	1 /PC	473.97	EUR
59638689	30.01.2026	DE	870850	5QS400053	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	193.57	1 /PC	580.71	EUR
59638689	30.01.2026	DE	870850	5QS400054	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	194.47	1 /PC	583.41	EUR
59638689	30.01.2026	CZ	870880	5QS412021ME	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	7.5	59.11	1 /PC	354.66	EUR
59638689	30.01.2026	DE	870850	5QS501051EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638689	30.01.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
